,id,label,count,louvain
802,frens,frens,6,6
803,thanksgiving,thanksgiving,11,4
804,wake,wake,6,6
805,enjoy,enjoy,6,4
806,violence,violence,6,6
807,rock,rock,6,5
808,worth,worth,6,6
809,click,click,10,3
810,swear,swear,6,6
811,venezuela,venezuela,7,6
812,petition,petition,6,6
813,tune,tune,6,6
814,silent,silent,6,6
815,sacramento,sacramento,6,6
816,treason,treason,7,6
817,ensure,ensure,7,6
818,chinese,chinese,9,1
819,wild,wild,6,6
820,ap,ap,5,6
821,found,found,5,5
822,lack,lack,5,6
823,demscheat,demscheat,5,5
824,giftideas,giftideas,5,5
825,company,company,5,6
826,hawley,hawley,5,6
827,speer,speer,5,4
828,bullsht,bullsht,5,4
829,charge,charge,5,4
830,sense,sense,5,4
831,gas,gas,6,6
832,listen,listen,5,5
833,angry,angry,6,6
834,respectfully,respectfully,5,6
835,floor,floor,5,4
836,compel,compel,5,6
837,al,al,5,6
838,kyle,kyle,5,6
839,chain,chain,5,6
840,lou,lou,5,6
841,individual,individual,6,2
842,launch,launch,5,6
843,fulton,fulton,6,6
844,postal,postal,6,6
845,ali,ali,6,6
846,wayne,wayne,6,6
847,september,september,5,6
848,vip,vip,7,6
849,thegreatreset,thegreatreset,5,5
850,school,school,6,5
851,arizonahearing,arizonahearing,5,6
852,multiple,multiple,5,6
853,recent,recent,5,6
854,reset,reset,5,6
855,hammerandscorecard,hammerandscorecard,5,6
856,person,person,5,6
857,agent,agent,6,6
858,purpose,purpose,5,6
859,wewillwin,wewillwin,5,5
860,14,14,5,6
861,ellis,ellis,5,6
862,submit,submit,5,2
863,rsvp,rsvp,5,6
864,declare,declare,5,4
865,appear,appear,5,1
866,chief,chief,5,1
867,upload,upload,5,6
868,congressman,congressman,5,6
869,activity,activity,5,4
870,supervisor,supervisor,5,6
871,game,game,5,6
872,18,18,5,6
873,organization,organization,5,6
874,stage,stage,5,2
875,freeman,freeman,5,6
876,tv,tv,5,9
877,certification,certification,6,6
878,difference,difference,6,6
879,cruz,cruz,5,6
880,busy,busy,5,6
881,amount,amount,5,6
882,suspicious,suspicious,5,6
883,scale,scale,5,6
884,volunteer,volunteer,5,6
885,28,28,5,6
886,carolina,carolina,6,6
887,minute,minute,5,6
888,name,name,7,4
889,mcdaniel,mcdaniel,5,2
890,potentially,potentially,5,6
891,covid19,covid19,5,4
892,youve,youve,5,6
893,guess,guess,5,4
894,organize,organize,5,6
895,testimony,testimony,5,6
896,historic,historic,5,6
897,control,control,5,4
898,raise,raise,5,6
899,stupid,stupid,6,4
900,fix,fix,5,6
901,fail,fail,6,6
902,offer,offer,5,6
903,assault,assault,5,6
904,jim,jim,6,2
905,invite,invite,5,6
906,deadline,deadline,6,6
907,lifetime,lifetime,5,1
908,gasen,gasen,5,6
909,browse,browse,5,6
910,exclusive,exclusive,5,6
911,politician,politician,5,9
912,hero,hero,5,6
913,hat,hat,9,9
914,letter,letter,6,6
915,krakenwood,krakenwood,7,6
916,epic,epic,5,6
917,carson,carson,6,6
918,russian,russian,5,1
919,bidencrimefamily,bidencrimefamily,5,6
920,officially,officially,5,6
921,st,st,5,6
922,excite,excite,5,4
923,shirt,shirt,5,4
924,mike,mike,5,4
925,nationwide,nationwide,5,5
926,track,track,5,6
927,shred,shred,5,6
928,naples,naples,6,6
929,gain,gain,5,6
930,load,load,5,6
931,design,design,5,5
932,inspire,inspire,5,6
933,kick,kick,5,4
934,primary,primary,5,6
935,600,600,5,6
936,keepfighting,keepfighting,5,9
937,kid,kid,5,1
938,screenshots,screenshots,6,6
939,specific,specific,5,6
940,spokesperson,spokesperson,7,9
941,ccp,ccp,6,5
942,hide,hide,5,2
943,army,army,5,2
944,encourage,encourage,6,6
